"initial";"final";"count";"time";"imp";"inum";"n";"w";"type"
16801647;6348186;360;2.42186498642;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96501016617;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.30613493919;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.18382310867;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3165299892;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.25074315071;3.939634081855677;0;1;1;"dvnd"
8670796;1011415;212;1.57193899155;8.57293593628728;1;1;1;"dvnd"
13437654;7193052;98;1.34564399719;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.46327900887;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95426988602;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.32378292084;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.20268201828;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3404729366;23.931378199050787;7;1;1;"dvnd"
558778;148828;91;1.22474002838;3.75452199854866;0;1;1;"dvnd"
8670796;1005671;170;1.42578792572;8.621901198304416;1;1;1;"dvnd"
13437654;7193052;98;1.3212518692;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.46651506424;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.94682884216;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.32044506073;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.17980194092;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.4060230255;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.23721504211;3.939634081855677;0;1;1;"dvnd"
8670796;1005671;153;1.44360494614;8.621901198304416;1;1;1;"dvnd"
13437654;7193052;98;1.3443748951;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.43944787979;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96364283562;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.30791306496;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.17586684227;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3426971436;23.931378199050787;7;1;1;"dvnd"
558778;150146;78;1.22923207283;3.721564344038469;0;1;1;"dvnd"
8670796;1036774;193;1.5133330822;8.363245991894086;1;1;1;"dvnd"
13437654;7193052;98;1.33313202858;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.44014382362;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.94915604591;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.31541991234;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.20626711845;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.392977953;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.25036001205;3.939634081855677;0;1;1;"dvnd"
8670796;1042152;169;1.42942595482;8.320087664755237;1;1;1;"dvnd"
13437654;7193052;98;1.34638500214;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.44423699379;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96783518791;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.33422899246;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.18180203438;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3682940006;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.22876095772;3.939634081855677;0;1;1;"dvnd"
8670796;1013471;180;1.46533513069;8.55554426323003;1;1;1;"dvnd"
13437654;7193052;98;1.32025003433;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.47799801826;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96730899811;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.29595303535;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.18896913528;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3449809551;23.931378199050787;7;1;1;"dvnd"
558778;140446;100;1.25885009766;3.978596756048588;0;1;1;"dvnd"
8670796;1005671;170;1.43507385254;8.621901198304416;1;1;1;"dvnd"
13437654;7193052;98;1.34263181686;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.47896099091;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95767402649;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.33820605278;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.22165584564;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3632209301;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.23270487785;3.939634081855677;0;1;1;"dvnd"
8670796;1019220;166;1.42369413376;8.507285963776221;1;1;1;"dvnd"
